id,keyword,location,text,target,cleaned_text,text_length,word_count
1589,bombing,倭国のド田舎  むぎわら一見とくまモンが居る所,"50% of Syrians made homeless by war, living in a tent, so as not to die under the bombing... https://t.co/FsmZoUhjyZ",0,of syrians made homeless by war living in a tent so as not to die under the bombing,83,18
4478,drowning,Lahore. Los Angeles.,The death of Secular India. Pakistan is struggling to come out of the swamp of religious extremism and Modi Sarkar… https://t.co/JYeUA5XHF2,0,the death of secular india pakistan is struggling to come out of the swamp of religious extremism and modi sarkar,113,20
7648,nuclear%20disaster,"British Columbia, Canada",The PM is accurate.Trump pulling out of the JCPOA started this disaster. He pulled out becaus… https://t.co/9aIlDb9Y8m,0,the pm is accuratetrump pulling out of the jcpoa started this disaster he pulled out becaus,91,16
1517,bomb,,"Bomb in Van of NJ Shooting Attack Suspects Could’ve Killed People 5 Football Fields Away, Officials Said https://t.co/IL…",1,bomb in van of nj shooting attack suspects couldve killed people football fields away officials said,100,16
7975,outbreak,,Mystery China Pneumonia Outbreak Likely Caused by New Human Coronavirus via https://t.co/39fdojda7Y,1,mystery china pneumonia outbreak likely caused by new human coronavirus via,75,11
4500,drowning,"Twin Peaks, WA",1. Death 2. Uncertainty 3. Failure 4. Dying Alone 5. Drowning,0,death uncertainty failure dying alone drowning,46,6
8130,panicking,pfp by _gabrielpicolo ♡,"literally none of us older women are panicking, we just tryna figure out why the fuck you, a grown ass man, wants t… https://t.co/vuJcvCsfCb",0,literally none of us older women are panicking we just tryna figure out why the fuck you a grown ass man wants t,112,23
6738,hurricane,,"we are a hurricane, drop our anchors in a storm https://t.co/xIjQf5jZIw",0,we are a hurricane drop our anchors in a storm,46,10
11285,wreck,,WRECK THE MACHINE: lick voting!,0,wreck the machine lick voting,29,5
4101,devastated,australia,devastated that 9now took off love island uk season 5 😭,0,devastated that now took off love island uk season,50,9
3791,desolate,Great White North,No one in their right mind would want their son or daughter to behave like Donald Trump. Just like no one in their right mi…,0,no one in their right mind would want their son or daughter to behave like donald trump just like no one in their right mi,122,25
4324,drown,Fuckwit City,SIGN: Justice for Dog Tied to Rock and Dumped in River to Drown https://t.co/bnfBDUphsq,1,sign justice for dog tied to rock and dumped in river to drown,62,13
6799,injuries,,Two cruciate ligament injuries in one game. A bad day for young Serie A stars 😢 https://t.co/HgwtnwawcV,1,two cruciate ligament injuries in one game a bad day for young serie a stars,76,15
10383,trapped,"Crawley, England","It's far too easy to get trapped in a prison of your own making, being insular, and pushing people away, and it's only g…",0,its far too easy to get trapped in a prison of your own making being insular and pushing people away and its only g,115,24
3683,derailed,Terra,"Legit had someone approach me in the gym once. ""Sorry, I am here to work out, not talk"" instantly deraile… https://t.co/ok67BkQ6pz",0,legit had someone approach me in the gym once sorry i am here to work out not talk instantly deraile,100,20
10301,tragedy,,Natural phenomenon when you consider the volcano alone. Tragedy is when you consider the plight of the thousands…,0,natural phenomenon when you consider the volcano alone tragedy is when you consider the plight of the thousands,111,18
4577,dust%20storm,North Carolina,It was a freak Adderall dust storm.,0,it was a freak adderall dust storm,34,7
8982,screaming,Newcastle upon Tyne,Just seen a video of a man climbing on a car and the woman drives off screaming with the man still on the front of… https://t.co/cC1d5YsYjm,1,just seen a video of a man climbing on a car and the woman drives off screaming with the man still on the front of,114,25
1543,bombed,,I’ve yet to see condemnation from of these banners and video of the organis… https://t.co/KHowQU4RUN,0,ive yet to see condemnation from of these banners and video of the organis,74,14
5749,flattened,NSW,It just shows that there is more than 1/3 of the voting public who will continue to vote for the LNP eve… https://t.co/tkFXS5OxCt,0,it just shows that there is more than of the voting public who will continue to vote for the lnp eve,100,21
1394,body%20bagging,inMYBAG 🎒,this one of many reason im body bagging keia ass if she think she leaving. 😭💯 https://t.co/UkY3gQY1PC,0,this one of many reason im body bagging keia ass if she think she leaving,73,15
8704,riot,Argentina,"//uncensored username Aside from the objectively bad take, y'all do realize what account this is, right? If you're… https://t.co/xHYjNEDzcM",0,uncensored username aside from the objectively bad take yall do realize what account this is right if youre,107,18
2574,collision,Sussex UK,TRAVEL: A26 near #Lewes - there is a collision between Earwig Corner and the Barcombe turnoff. Lengthy delays on bo… https://t.co/5k8L6M6IdS,1,travel a near lewes there is a collision between earwig corner and the barcombe turnoff lengthy delays on bo,108,19
4661,electrocute,,Teen vouge started the made up rumor turned meme that Mike Pence wants to electrocute gay… https://t.co/50Dh1gMk5G,0,teen vouge started the made up rumor turned meme that mike pence wants to electrocute gay,89,16
8947,screamed,,i literally screamed when i saw it,0,i literally screamed when i saw it,34,7
7150,lightning,West Yorkshire,Some strange stuff written about the banning of credit cards for gambling this morning. 15 year olds tend to find a… https://t.co/nqzmg6F0QT,0,some strange stuff written about the banning of credit cards for gambling this morning year olds tend to find a,111,20
9022,screaming,bi 18 she/her,brb screaming,0,brb screaming,13,2
4521,drowning,,Check out my broadcast from my PlayStation 4! #PS4live (Drowning (Demo)) live at https://t.co/AaUeutxHXw,0,check out my broadcast from my playstation pslive drowning demo live at,71,12
10997,whirlwind,In the aburokyi,If you're at this point it's too late. Get ready for the whirlwind. https://t.co/1mkUXrne2R,1,if youre at this point its too late get ready for the whirlwind,63,13
3213,deaths,,You been to Samoa? Its a 3rd world country. They don’t have toilets! How many measles deaths in Aus… https://t.co/t5XKQFA9KG,0,you been to samoa its a rd world country they dont have toilets how many measles deaths in aus,94,19
1294,blown%20up,Metaverse,can this get blown up please 😭😭😭😭 https://t.co/MdBa1QjRUk,0,can this get blown up please,28,6
11171,wounded,,"Man arrested after 8 wounded in stabbing spree in Colorado Springs, police say https://t.co/VIoRe7HNLU",1,man arrested after wounded in stabbing spree in colorado springs police say,75,12
482,arson,Melbourne,The guy next to me is texting people “arson fact file” bushfire conspiracy theories 🤪🙃,0,the guy next to me is texting people arson fact file bushfire conspiracy theories,81,14
1510,bomb,,The new bangtan bomb episode is actually trending with 1.1 million views lol https://t.co/OuLeSY65xY,0,the new bangtan bomb episode is actually trending with million views lol,72,12
8239,quarantine,,“I saw an infected victim myself! We gotta quarantine him and get the heck outta here!”,0,i saw an infected victim myself we gotta quarantine him and get the heck outta here,83,16
2295,cliff%20fall,"North Carolina, USA",WHAT IS THIS INFORMATION?? Did someone fall off a cliff? Is it a secret child? Do they have an extra toe?? #BachelorNa…,0,what is this information did someone fall off a cliff is it a secret child do they have an extra toe bachelorna,111,22
3540,demolition,"Accra, Ghana","“They didn’t inform them about the demolition, they just appeared this morning around 5am with their equipment and… https://t.co/0JXfF8E62I",0,they didnt inform them about the demolition they just appeared this morning around am with their equipment and,110,18
2453,collide,,forgive...Error...Iran...Vow...Punish...All...Responsible...Dead...Boeing...737...Crash...land...collide...Maj...Ge… https://t.co/dsWmA4REPZ,0,forgiveerroriranvowpunishallresponsibledeadboeingcrashlandcollidemajge,70,1
9935,survivors,India,"Saw #Chhapak last night. Powerful film about acid attacks, an evil phenomenon well known in India. Acid attacks are a…",0,saw chhapak last night powerful film about acid attacks an evil phenomenon well known in india acid attacks are a,113,20
6073,hail,,"BBC bigging up the first serious 'in depth 'interview with PM Horace Johnson, with... .. .. .. . Dan Walker, who s… https://t.co/ibR2eNYMdu",0,bbc bigging up the first serious in depth interview with pm horace johnson with dan walker who s,96,18
11094,wildfire,,Carrots to the rescue for animals in wildfire-ravaged forests in New South Wales https://t.co/bGSNkTwqwn,1,carrots to the rescue for animals in wildfireravaged forests in new south wales,79,13
5305,famine,,THREAD: The book of Ruth Begins as if it's going to be a story about a man: 'In the days when the judges judged there w…,0,thread the book of ruth begins as if its going to be a story about a man in the days when the judges judged there w,115,26
8877,sandstorm,,I've just entered the #giveaway to #WIN a copy of #InsurgencySandstorm on #Steam by check it out now! https://t.co/daxyzjdFvm,0,ive just entered the giveaway to win a copy of insurgencysandstorm on steam by check it out now,95,18
3938,destroyed,Pakistan,"Whenever you hear the term ""deep state"", the perception that is given is that it means ISI &amp; army.... Fact is that the…",0,whenever you hear the term deep state the perception that is given is that it means isi amp army fact is that the,113,23
765,bioterror,"Tāmaki-Makaurau, Aotearoa (New Zealand)","I'm going to add false colour to a virus image and scream ""it's coming to get you"" at people and begin my reign of bioterror wh…",0,im going to add false colour to a virus image and scream its coming to get you at people and begin my reign of bioterror wh,123,26
283,annihilation,,1. Iran's government is dominating headlines. A crushing and cruel islamic regime. Purveyor of proxy wars. State sponsored ter…,0,irans government is dominating headlines a crushing and cruel islamic regime purveyor of proxy wars state sponsored ter,119,18
4663,electrocute,,Less than 10 hours until my exam and all I've done in the past 3 hours is spill coffee all over me; buy a sparklin… https://t.co/SzQXA3mEdM,0,less than hours until my exam and all ive done in the past hours is spill coffee all over me buy a sparklin,107,23
965,bleeding,"Saki, Oyo State, Nigeria.",Bleeding Madras be that,0,bleeding madras be that,23,4
1451,body%20bags,,"Like he got cucked by Iran? Damage to American military bases and no response,… https://t.co/55NlLWt3B3",0,like he got cucked by iran damage to american military bases and no response,76,14
1140,blizzard,"Ohio, USA",In my opinion it should definitely be marketed as a premium… https://t.co/y4TVR89Hqy,0,in my opinion it should definitely be marketed as a premium,59,11
7537,mudslide,,Mudslide and Avalanche https://t.co/s4AMVRO3gq,0,mudslide and avalanche,22,3
8815,ruin,,"Yo VA fam, To start off this year, we need to set the tone with positive vibes. I know everyone has enough negativ… https://t.co/sL4kerpgZr",0,yo va fam to start off this year we need to set the tone with positive vibes i know everyone has enough negativ,111,23
2304,cliff%20fall,China (GOD help me!),"If trump were hanging from a Cliff and about six Republican Senators walked by , they would let him fall. And a few mi…",0,if trump were hanging from a cliff and about six republican senators walked by they would let him fall and a few mi,115,23
10674,upheaval,"London, United Kingdom",Schools should brace for five years of upheaval from a triumphant party with Gove at its heart https://t.co/lMriU4nIle,0,schools should brace for five years of upheaval from a triumphant party with gove at its heart,94,17
6545,hijacking,World wide,DLL Hijacking Attack https://t.co/JvGktukptQ #computerscience #coding #technology #opengenus #hourofcode,0,dll hijacking attack computerscience coding technology opengenus hourofcode,75,8
8670,riot,"Queensland, Australia",A pretty damn good lineup of actual celebrities on DWTS this year. But if doesn’t win we riot. We mus… https://t.co/UWzHuc8YrD,0,a pretty damn good lineup of actual celebrities on dwts this year but if doesnt win we riot we mus,98,20
5089,evacuation,kalix & jax's,"Hoping for everyone's safety! Hi Keepers, some of our co-Keepers will be doing some relief work and visit the evacuati…",0,hoping for everyones safety hi keepers some of our cokeepers will be doing some relief work and visit the evacuati,114,20
636,attacked,India,I thought I'll get attacked by some people for saying this 😅,0,i thought ill get attacked by some people for saying this,57,11
11306,wreckage,"Sunshine Coast, Queensland","A sunken yacht has finally been pulled out of the Mooloolah River, almost a year after it was abandoned. The wrecka… https://t.co/H00suo4N0z",1,a sunken yacht has finally been pulled out of the mooloolah river almost a year after it was abandoned the wrecka,113,21
3019,danger,"New York, USA",Really hope Florence Pugh is not Yelena Belova only once. Yelena is in same green vest Natasha wears in Infinity War w…,0,really hope florence pugh is not yelena belova only once yelena is in same green vest natasha wears in infinity war w,117,22
5042,evacuate,"Rosario, Calabarzon",Ang daming costumers telling where they are from and telling stories on what's happening sa lugar nila why they nee… https://t.co/DTEznwGg34,0,ang daming costumers telling where they are from and telling stories on whats happening sa lugar nila why they nee,114,20
6161,harm,,if they aren’t interested in what I’m saying now: then leave me alone. No harm done.,0,if they arent interested in what im saying now then leave me alone no harm done,79,16
7054,landslide,India,We wanted to entertain you all with a good movie on Sankranthi festival. And you gave us a Landslide Victory as return gift.…,0,we wanted to entertain you all with a good movie on sankranthi festival and you gave us a landslide victory as return gift,122,23
11085,wildfire,,London gay bar throws mammoth 12 hour drag-a-thon to rise vital funds for devastating Australia bushfires https://t.co/d2gklG…,0,london gay bar throws mammoth hour dragathon to rise vital funds for devastating australia bushfires,100,15
4248,displaced,"Jerusalem, Palestine",Seriously give land to: Black natives. Mixed natives. Lbtqaiip+2S natives. Native women. Homeless natives. Poor n…,0,seriously give land to black natives mixed natives lbtqaiips natives native women homeless natives poor n,105,16
2909,cyclone,Afrika Tshipembe 🇿🇦,Early 2019 Mozambican Disasters Management and international reinsures used drones to assess the damages c… https://t.co/cJ5guq6epq,0,early mozambican disasters management and international reinsures used drones to assess the damages c,101,14
3571,demolition,"Stamford, CT","""Once the [scrapping] sale contract has been signed and the deal done, you have to ask how much else is expected of… https://t.co/nCJ2pPW5sb",0,once the scrapping sale contract has been signed and the deal done you have to ask how much else is expected of,111,22
8101,panic,,I forgot I had a glass of milk out. And then I panic drank it when I remembered. For no absolute reason mind you.… https://t.co/CLd78emrdn,0,i forgot i had a glass of milk out and then i panic drank it when i remembered for no absolute reason mind you,110,24
1777,buildings%20on%20fire,"New York, New York","Nearly 12 hours after this fire began, crews are STILL at the scene hosing down buildings to keep neighbors out of har…",1,nearly hours after this fire began crews are still at the scene hosing down buildings to keep neighbors out of har,114,21
3975,destruction,"Montgomeryville, PA","For more than 50 years, Big Oil knew their products caused climate change. But instead of warning the public, they lied t…",0,for more than years big oil knew their products caused climate change but instead of warning the public they lied t,115,21
1414,body%20bags,"Vociferously dismissed by Democrats and Media as a Russian infiltrator, alone against deceptive Democrat aggression; Winston Churchill",Must Watch 300 body bags from Obama-Holder Open Border Gun Smuggling. https://t.co/z9rARo89hM https://t.co/ACx5sT8MNt,0,must watch body bags from obamaholder open border gun smuggling,63,10
3567,demolition,Riyadh,This controlled demolition https://t.co/uCfQp8qa67,0,this controlled demolition,26,3
1207,blood,"England, United Kingdom",Just ring ding dong it🤗. It's over in a second. Blood tests always make me anxious but it really isn't ba… https://t.co/xAOjsqNdfc,0,just ring ding dong it its over in a second blood tests always make me anxious but it really isnt ba,100,21
5664,first%20responders,Las Vegas Nevada,God Bless him and all First Responders.,0,god bless him and all first responders,38,7
2225,chemical%20emergency,Camp Half-Blood,DOES ANYONE HERE SPEAK HIEROGLYPHICS?! ITS AN EMERGENCY!,0,does anyone here speak hieroglyphics its an emergency,53,8
10046,terrorist,,"In one week, I watched Democrats attack a man who stopped a church shooting Mourn over the death of an Iranian terrorist A…",0,in one week i watched democrats attack a man who stopped a church shooting mourn over the death of an iranian terrorist a,121,23
2960,damage,"North Wales, UK","“The threats that we now face are from states who behave like terrorists, terrorists who behave like states, and indiv…",0,the threats that we now face are from states who behave like terrorists terrorists who behave like states and indiv,115,20
8390,razed,,In an act of total conflagration by the tribal terrorists #BIR of dictator #PaulBiya at Ndu #SouthernCameroons 9.1.2020 dozens…,1,in an act of total conflagration by the tribal terrorists bir of dictator paulbiya at ndu southerncameroons dozens,114,18
9905,survived,,AaAaaaAaaccCcCckkKkkkkk survived!!!!,0,aaaaaaaaacccccckkkkkkkk survived,32,2
10414,trauma,,All because companies put pressure on you to come in as you will loose your job - which I get - but when your facin… https://t.co/Ih3Rba9fJP,0,all because companies put pressure on you to come in as you will loose your job which i get but when your facin,111,23
1633,bombing,,UN soldier experiences NATO style bombing run. Freaks the fuck out. https://t.co/jtK6l5eO7O,0,un soldier experiences nato style bombing run freaks the fuck out,65,11
3638,derailed,,If that's derailing then you are derailing even more. Instead of arguing your point you're just saying… https://t.co/64V8h5Hr4C,0,if thats derailing then you are derailing even more instead of arguing your point youre just saying,99,17
1893,burning,,"The input for Buster Wolf always sends you in the direction you input, same with the input fo… https://t.co/nwvtKdbJFc",0,the input for buster wolf always sends you in the direction you input same with the input fo,92,18
7992,outbreak,Malaysia,"Hi, since there is an influenza outbreak in kl, and if anyone is suspected with influenza, i hope you guys stay at home,…",1,hi since there is an influenza outbreak in kl and if anyone is suspected with influenza i hope you guys stay at home,116,23
3956,destroyed,,"Nowadays, Sid’s game is completely being destroyed by Sana! Just like Diandra messed up Gautam’s game for a week! All we se…",0,nowadays sids game is completely being destroyed by sana just like diandra messed up gautams game for a week all we se,118,22
4520,drowning,,I look around me and it seems like everyone else has their shit together and I’m drowning in confusion and tiredness 😭,0,i look around me and it seems like everyone else has their shit together and im drowning in confusion and tiredness,115,21
6239,hazard,"กรุงเทพมหานคร, ประเทศไทย",Apple Field - A mix of Red &amp; White Pollen - Hazard: 2 Scorpions (Or 1 Worm if you plan on using that mob…,0,apple field a mix of red amp white pollen hazard scorpions or worm if you plan on using that mob,96,20
9890,survive,Kenya,"It's SIMPLY IMPOSSIBLE for this country to survive 2020, 2021 &amp; 2020 in the current state of COVERT &amp; OVERT WARS between…",0,its simply impossible for this country to survive amp in the current state of covert amp overt wars between,107,19
8302,quarantined,,#DidYouKnow? Magnet #AXIOM has built-in support for processing and analysis of hundreds of Mac-specific artifacts incl…,0,didyouknow magnet axiom has builtin support for processing and analysis of hundreds of macspecific artifacts incl,113,16
9506,stretcher,Freckleton,"PT for Nijmegen is a Stretcher Race around Hyde Park, soon they will deploy to The Falklands to assist the Battalion with…",0,pt for nijmegen is a stretcher race around hyde park soon they will deploy to the falklands to assist the battalion with,120,22
10010,terrorism,"New Delhi, India","All national security experts, anti terrorism journos are silent on arrest of Devender Singh while ferrying 2 wanted Hizbul…",0,all national security experts anti terrorism journos are silent on arrest of devender singh while ferrying wanted hizbul,120,18
7070,landslide,,Totally agree. I believe President 's landslide reelection victory shows it's possible 2 build a global coalition 4…,0,totally agree i believe president s landslide reelection victory shows its possible build a global coalition,108,16
2705,crashed,somewhere in Estonia,The women were doing a left turn when the guy crashed into them coming from behind. He was speeding about 140 km/h… https://t.co/m3DPHJKxOc,1,the women were doing a left turn when the guy crashed into them coming from behind he was speeding about kmh,108,21
163,airplane%20accident,Iowa,How exactly does one accidentally fire a rocket? At an airplane leaving your own countries airport. This… https://t.co/LQdfG1THTN,0,how exactly does one accidentally fire a rocket at an airplane leaving your own countries airport this,102,17
369,armageddon,,"New Music: DJ Joenel feat. Ajebo Hustlers, Dr Barz &amp; Dan Dizzy – Armageddon https://t.co/rlOcieXQPt https://t.co/2DCzBRS1nJ",0,new music dj joenel feat ajebo hustlers dr barz amp dan dizzy armageddon,72,13
11043,wild%20fires,,Turns out Australia isn’t blazing because of climate change. It’s blazing because a vast amount of arsonist started the…,1,turns out australia isnt blazing because of climate change its blazing because a vast amount of arsonist started the,116,19
620,attacked,Arkansas,i feel attacked 😭 https://t.co/Jg0VPnKiUK,0,i feel attacked,15,3
2666,crash,Euless,"""Johnson: New Trump Deal Can Replace the Iran Nuclear Pact"" by Reuters via NYT https://t.co/S0YCAP80qn",0,johnson new trump deal can replace the iran nuclear pact by reuters via nyt,75,14
10120,threat,,Zuckerberg views Democrats as an existential threat. He will do ANYTHING to keep Trump and…,0,zuckerberg views democrats as an existential threat he will do anything to keep trump and,89,15
9710,suicide%20bombing,dark forest,She lost her son 6 years ago in a suicide bombing. She visits his work place weekly and cleans the Ambulance he used t…,1,she lost her son years ago in a suicide bombing she visits his work place weekly and cleans the ambulance he used t,115,23
10168,thunderstorm,USA,"NWS Alert&gt; Strong Thunderstorm Near Keeling or Near Chatham Moving NE At 50 MPH. Winds Over 30 MPH &amp; Brief, Locally… https://t.co/bbGAZ2tQgP",1,nws alertgt strong thunderstorm near keeling or near chatham moving ne at mph winds over mph amp brief locally,110,19
11289,wreck,Bay Area,I literally have no idea how professional athletes sleep before big games. Can't wrap my head around i… https://t.co/ztRHFejg7i,0,i literally have no idea how professional athletes sleep before big games cant wrap my head around i,100,18
3471,demolished,,"Bill Brandt: ‘In the Public Bar, at Charlie Brown's, Limehouse c. 1942’ Aka the Railway Tavern the pub was on the corner of Ga…",0,bill brandt in the public bar at charlie browns limehouse c aka the railway tavern the pub was on the corner of ga,114,23
8497,refugees,,Dear let me give u few instances of foreign immigrants building formidable companies in India- 1) Larsen &amp; To…,0,dear let me give u few instances of foreign immigrants building formidable companies in india larsen amp to,107,18
1695,buildings%20burning,,Americans should be in the streets burning down buildings at this point.,0,americans should be in the streets burning down buildings at this point,71,12
8405,razed,Cambodia,An early morning blaze yesterday razed 15 houses in Sih….,1,an early morning blaze yesterday razed houses in sih,52,9
4247,displaced,,What about his support for Assad? Many innocent people have died in that war and many have been displaced.,1,what about his support for assad many innocent people have died in that war and many have been displaced,104,19
11301,wreckage,"British Columbia, Canada","Stunning drone video of Bound Brook fire aftermath shows charred, smoldering wreckage https://t.co/Zc5tKjzpZO",1,stunning drone video of bound brook fire aftermath shows charred smoldering wreckage,84,12
776,bioterror,Constitutionalist in the South,"Mexican Border: Portal For Swine Flu, TB, Bioterror https://t.co/wTIQakNXqR via",0,mexican border portal for swine flu tb bioterror via,52,9
6403,hellfire,"South Dublin, Ireland",Hairy Curtain Crust looking like a selection of streaky rashers on the Hellfire trail! #fungus #nature… https://t.co/v4uI7cfev4,0,hairy curtain crust looking like a selection of streaky rashers on the hellfire trail fungus nature,99,16
1064,blight,Halo,I have no love for the sequels in any capacity. They're a blight upon the Star Wars Franchise. But… https://t.co/sfIZJUlgiA,0,i have no love for the sequels in any capacity theyre a blight upon the star wars franchise but,95,19
5952,floods,"Mumbai, India",Deadliest disasters: Earthquakes Floods Forest Fire Volcanic Eruption M0d! &amp; $h,0,deadliest disasters earthquakes floods forest fire volcanic eruption md amp h,77,11
3559,demolition,"Jersey City, NJ",Could any leader of Congress show courage of demolition of article 370? All are only for power and mon… https://t.co/C7lHJP4tlk,0,could any leader of congress show courage of demolition of article all are only for power and mon,97,18
